DR,A%,DF%,1stIn,1st%,2nd%
0.59,6.1%,0.0%,60.6%,72.5%,42.3%
1.21,7.8%,4.9%,55.9%,70.2%,51.1%
1.29,7.9%,1.3%,57.9%,70.5%,40.6%
1.35,9.4%,7.8%,51.6%,78.8%,54.8%
1.16,12.8%,1.3%,60.3%,70.2%,54.8%
0.85,1.4%,2.9%,67.1%,63.8%,39.1%
0.78,0.0%,2.2%,61.8%,61.8%,55.9%
1.48,10.5%,2.6%,62.3%,77.5%,55.8%
1.61,6.5%,1.3%,61.0%,83.0%,56.7%
0.81,2.2%,1.1%,62.0%,61.4%,45.7%
1.16,5.0%,7.5%,57.5%,65.2%,44.1%
1.08,6.9%,3.4%,63.2%,72.7%,56.3%
1.13,0.0%,5.4%,56.8%,66.7%,62.5%
1.21,9.8%,0.0%,70.5%,62.8%,61.1%
1.36,7.4%,1.9%,64.8%,80.0%,57.9%
1.62,0.0%,4.1%,53.1%,80.8%,52.2%
0.94,3.7%,8.6%,48.1%,76.9%,45.2%
2.00,11.6%,0.0%,55.8%,79.2%,63.2%
1.45,4.1%,2.0%,67.3%,66.7%,68.8%
0.81,2.5%,3.7%,66.7%,68.5%,48.1%
0.71,2.0%,1.0%,69.6%,60.6%,51.6%
1.14,4.2%,2.4%,62.9%,68.6%,62.9%
1.31,6.0%,0.7%,65.3%,70.4%,63.5%
1.41,11.8%,2.0%,66.7%,75.0%,47.1%
0.83,3.3%,4.9%,59.0%,66.7%,36.0%
1.21,7.6%,0.0%,54.5%,66.7%,63.3%
1.10,5.1%,3.8%,66.7%,65.4%,61.5%
1.28,4.8%,1.6%,66.1%,70.7%,71.4%
1.29,10.6%,1.5%,57.6%,84.2%,64.3%
0.61,3.0%,1.5%,68.7%,47.8%,52.4%
0.62,0.0%,6.8%,59.1%,57.7%,33.3%
1.55,0.0%,0.0%,68.0%,79.4%,50.0%
0.78,7.2%,3.6%,65.1%,53.7%,48.3%
1.01,3.1%,0.0%,67.2%,72.1%,52.4%
1.48,2.0%,0.0%,61.2%,76.7%,52.6%
0.99,5.7%,0.9%,61.3%,58.5%,51.2%
0.80,2.9%,8.7%,58.0%,57.5%,41.4%
1.20,0.0%,4.0%,60.0%,66.7%,63.3%
0.88,0.9%,1.8%,71.6%,57.7%,48.4%
0.28,0.0%,0.0%,57.1%,25.0%,33.3%
1.26,1.1%,5.3%,62.8%,71.2%,54.3%
1.10,2.7%,5.3%,54.7%,70.7%,55.9%
1.40,10.7%,5.4%,67.9%,73.7%,50.0%
1.94,2.2%,2.2%,64.4%,69.0%,62.5%
0.85,1.8%,7.1%,46.4%,65.4%,50.0%
1.10,5.4%,3.3%,63.0%,72.4%,47.1%
0.88,6.1%,2.0%,56.6%,60.7%,51.2%
1.07,4.2%,0.0%,63.9%,76.1%,65.4%
0.57,1.4%,1.4%,50.0%,69.4%,41.7%
1.56,5.0%,0.0%,48.8%,76.9%,61.0%
0.71,4.4%,0.0%,64.7%,52.3%,50.0%
0.95,6.5%,5.4%,54.3%,72.0%,52.4%
0.59,0.0%,8.5%,45.8%,59.3%,40.6%
1.09,5.6%,1.9%,54.6%,71.2%,44.9%
0.96,8.8%,5.0%,61.3%,65.3%,48.4%
1.61,14.6%,0.0%,62.5%,83.3%,50.0%
1.15,8.1%,3.5%,66.3%,70.2%,44.8%
1.27,10.9%,0.0%,60.9%,89.7%,44.0%
1.06,16.0%,2.5%,71.6%,74.1%,65.2%
1.25,6.2%,3.1%,66.2%,69.8%,59.1%
0.82,5.6%,0.7%,64.1%,71.4%,56.9%
0.82,4.6%,1.5%,61.5%,55.0%,60.0%
1.68,7.0%,1.8%,66.7%,71.1%,68.4%
3.13,11.8%,0.0%,67.6%,82.6%,81.8%
1.85,4.4%,2.2%,62.2%,78.6%,58.8%
2.68,14.3%,0.0%,51.4%,83.3%,76.5%
