DR,A%,DF%,1stIn,1st%,2nd%
1.10,6.9%,3.4%,72.4%,71.4%,45.8%
1.07,7.5%,2.5%,70.0%,71.4%,54.2%
0.91,3.0%,4.0%,62.6%,72.6%,51.4%
1.38,9.1%,1.8%,52.7%,86.2%,57.7%
1.81,6.3%,4.2%,62.5%,83.3%,55.6%
0.79,2.7%,2.7%,60.2%,63.2%,48.9%
0.76,5.2%,6.5%,55.8%,69.8%,52.9%
1.21,7.8%,4.7%,56.3%,86.1%,39.3%
1.56,16.9%,3.4%,64.4%,76.3%,57.1%
0.38,0.0%,1.2%,70.2%,59.3%,40.0%
0.78,4.3%,2.6%,65.2%,60.0%,57.5%
1.55,13.5%,1.9%,75.0%,82.1%,53.8%
0.83,0.0%,2.5%,57.4%,67.7%,43.5%
1.73,6.5%,1.3%,45.5%,85.7%,61.9%
0.90,10.1%,0.0%,71.9%,75.0%,56.0%
2.11,16.3%,0.0%,65.1%,75.0%,80.0%
1.35,1.5%,0.0%,70.8%,69.6%,52.6%
1.93,10.6%,2.1%,57.4%,88.9%,65.0%
0.99,8.8%,2.5%,65.0%,75.0%,42.9%
1.17,8.6%,0.0%,72.8%,62.7%,68.2%
0.92,1.1%,2.2%,71.0%,69.7%,51.9%
0.92,6.3%,0.0%,60.0%,75.4%,57.9%
1.29,9.4%,0.0%,72.9%,75.8%,65.2%
1.60,2.1%,2.1%,80.9%,78.9%,33.3%
1.74,10.0%,2.0%,60.0%,90.0%,55.0%
1.73,11.4%,6.8%,61.4%,77.8%,64.7%
0.91,5.2%,0.0%,66.0%,59.4%,45.5%
1.87,2.3%,0.0%,58.1%,88.0%,50.0%
1.01,3.1%,0.0%,74.2%,61.1%,64.0%
1.15,5.6%,2.4%,66.1%,70.7%,54.8%
0.43,0.0%,2.8%,50.0%,33.3%,33.3%
1.33,6.1%,1.5%,72.7%,70.8%,61.1%
1.69,0.0%,0.0%,62.5%,80.0%,61.1%
1.68,17.0%,2.1%,66.0%,80.6%,50.0%
2.20,13.6%,0.0%,72.7%,78.1%,75.0%
0.91,2.0%,2.0%,69.3%,74.3%,41.9%
1.59,3.6%,0.0%,67.3%,75.7%,72.2%
1.67,0.0%,0.0%,68.6%,68.6%,62.5%
0.30,5.9%,3.9%,58.8%,70.0%,33.3%
1.17,5.9%,1.2%,60.0%,70.6%,61.8%
0.91,2.6%,1.7%,69.0%,56.3%,41.7%
1.29,1.6%,1.6%,62.5%,70.0%,66.7%
0.98,3.2%,0.0%,62.4%,67.2%,62.9%
0.60,1.7%,1.7%,62.1%,52.8%,59.1%
0.84,1.4%,1.4%,68.1%,53.2%,36.4%
1.27,5.6%,2.8%,69.4%,68.0%,63.6%
0.96,5.8%,0.6%,71.0%,79.1%,62.2%
0.97,3.3%,4.4%,68.9%,61.9%,42.1%
0.83,4.7%,2.3%,74.4%,70.3%,59.1%
0.57,4.6%,1.8%,67.9%,63.5%,60.0%
0.91,3.4%,0.0%,66.1%,53.8%,65.0%
0.77,9.1%,4.5%,69.7%,73.9%,50.0%
1.11,14.0%,0.9%,75.7%,79.0%,69.2%
1.77,2.6%,0.0%,84.6%,75.8%,50.0%
1.86,8.0%,2.7%,68.0%,76.5%,75.0%
0.77,9.8%,2.0%,66.7%,67.6%,52.9%
1.07,1.2%,1.2%,80.2%,66.2%,68.8%
1.42,3.8%,0.0%,74.7%,69.5%,70.0%
1.09,3.3%,4.4%,72.5%,63.6%,48.0%
0.73,7.8%,2.0%,62.7%,65.6%,47.4%
1.84,8.0%,2.0%,78.0%,76.9%,72.7%
1.82,15.3%,0.0%,86.4%,82.4%,50.0%
0.65,1.4%,5.7%,62.9%,61.4%,50.0%
1.03,1.5%,2.3%,72.9%,59.8%,52.8%
0.75,1.7%,1.7%,66.1%,77.5%,39.0%
0.77,1.1%,2.2%,72.2%,53.8%,52.0%
0.70,2.3%,4.5%,50.0%,50.0%,45.5%
