DR,A%,DF%,1stIn,1st%,2nd%
1.16,1.1%,9.2%,48.3%,64.3%,42.2%
1.27,2.6%,5.1%,60.3%,76.6%,45.2%
2.01,2.3%,2.3%,53.5%,82.6%,60.0%
0.88,5.1%,5.1%,59.3%,65.7%,45.8%
0.71,0.0%,4.5%,47.7%,54.8%,45.7%
1.17,0.0%,2.1%,60.4%,75.9%,47.4%
1.96,4.3%,0.0%,52.2%,79.2%,68.2%
1.67,7.4%,0.0%,74.1%,77.5%,64.3%
1.11,2.6%,3.8%,59.0%,71.7%,50.0%
1.30,1.3%,1.3%,68.0%,70.6%,33.3%
0.88,1.1%,3.4%,49.4%,50.0%,53.3%
1.11,0.0%,5.7%,64.2%,61.8%,36.8%
1.31,0.0%,2.1%,55.3%,65.4%,47.6%
1.21,3.3%,1.7%,55.0%,72.7%,48.1%
1.39,1.7%,1.7%,52.5%,71.0%,50.0%
0.92,0.0%,3.3%,71.7%,59.3%,55.9%
1.06,1.0%,6.1%,54.5%,64.8%,48.9%
0.94,8.0%,5.7%,61.4%,74.1%,50.0%
1.00,4.6%,3.7%,57.4%,61.3%,54.3%
1.22,5.2%,1.7%,63.8%,67.6%,47.6%
0.70,0.0%,1.6%,64.5%,60.0%,59.1%
1.23,3.5%,5.8%,48.8%,73.8%,47.7%
0.61,1.4%,1.4%,63.9%,45.7%,34.6%
1.25,0.0%,0.0%,58.6%,70.6%,54.2%
1.29,5.2%,3.4%,55.2%,56.3%,46.2%
0.80,2.9%,4.3%,58.6%,68.3%,48.3%
1.60,3.6%,3.6%,78.6%,81.8%,50.0%
1.09,1.0%,0.0%,60.6%,60.3%,58.5%
3.60,5.6%,5.6%,61.1%,90.9%,71.4%
1.12,8.1%,4.1%,74.3%,69.1%,36.8%
0.98,6.0%,6.0%,53.0%,75.0%,38.5%
1.24,4.8%,4.8%,46.0%,72.4%,55.9%
0.60,4.8%,9.5%,47.6%,50.0%,36.4%
1.28,3.0%,19.7%,42.4%,96.4%,44.7%
0.87,4.4%,5.6%,50.0%,62.2%,40.0%
0.77,1.9%,1.9%,59.3%,50.0%,45.5%
1.41,5.6%,4.2%,69.0%,71.4%,63.6%
1.20,0.0%,5.1%,54.4%,69.8%,52.8%
2.12,2.3%,4.7%,60.5%,76.9%,64.7%
0.92,5.2%,0.0%,62.1%,61.1%,63.6%
1.33,0.0%,4.3%,55.1%,68.4%,54.8%
1.08,3.3%,1.1%,52.7%,54.2%,62.8%
0.95,0.0%,3.4%,62.9%,60.7%,42.4%
0.88,4.1%,2.7%,54.1%,65.0%,50.0%
1.02,3.4%,0.0%,63.2%,72.7%,53.1%
0.80,0.0%,6.3%,41.7%,65.0%,46.4%
1.26,12.3%,8.2%,54.8%,75.0%,54.5%
1.36,5.0%,2.5%,65.0%,78.8%,50.0%
0.81,1.4%,5.6%,62.5%,51.1%,44.4%
0.88,4.3%,3.3%,51.1%,63.8%,44.4%
1.17,1.1%,6.4%,61.7%,70.7%,47.2%
0.80,1.4%,9.9%,54.9%,64.1%,34.4%
1.04,4.3%,5.3%,58.5%,60.0%,59.0%
0.82,1.1%,6.5%,54.8%,60.8%,50.0%
0.89,5.1%,4.4%,40.9%,73.2%,42.0%
0.96,5.4%,1.4%,58.1%,69.8%,58.1%
0.89,1.1%,3.2%,47.4%,57.8%,46.0%
1.52,7.1%,1.8%,58.9%,69.7%,60.9%
1.59,3.8%,1.9%,71.7%,68.4%,66.7%
1.36,5.5%,5.5%,70.9%,66.7%,50.0%
0.98,0.0%,7.1%,53.6%,60.0%,35.9%
1.20,4.3%,2.1%,60.6%,71.9%,56.8%
0.67,2.2%,0.0%,58.7%,74.1%,42.1%
0.57,6.3%,2.1%,47.9%,65.2%,48.0%
