DR,A%,DF%,1stIn,1st%,2nd%
0.73,6.8%,4.1%,48.6%,83.3%,39.5%
1.24,7.3%,2.4%,52.4%,74.4%,56.4%
0.44,10.0%,8.8%,61.3%,75.5%,38.7%
0.94,2.4%,2.4%,54.8%,69.6%,47.4%
1.22,1.9%,1.9%,81.5%,40.9%,60.0%
1.01,3.3%,1.6%,57.7%,59.2%,51.9%
1.01,5.4%,3.6%,60.4%,65.7%,52.3%
1.95,17.9%,2.6%,64.1%,68.0%,85.7%
1.18,2.7%,0.0%,52.7%,71.8%,68.6%
1.52,5.5%,1.8%,58.2%,78.1%,60.9%
1.13,12.3%,2.7%,64.4%,70.2%,65.4%
1.53,1.8%,5.5%,47.3%,65.4%,69.0%
0.69,1.5%,6.0%,55.2%,64.9%,43.3%
0.92,1.3%,6.4%,59.0%,63.0%,37.5%
1.51,5.7%,7.5%,58.5%,87.1%,54.5%
1.40,3.5%,3.5%,56.1%,68.8%,56.0%
1.27,1.4%,4.3%,46.4%,68.8%,59.5%
1.42,1.5%,10.8%,52.3%,73.5%,58.1%
0.66,7.8%,3.1%,65.6%,71.4%,36.4%
2.12,2.6%,0.0%,57.9%,72.7%,68.8%
1.01,6.6%,7.9%,57.9%,70.5%,34.4%
0.79,6.1%,7.6%,50.0%,69.7%,48.5%
1.03,4.1%,3.1%,51.5%,66.0%,55.3%
1.26,6.3%,6.3%,50.8%,65.6%,64.5%
0.96,2.1%,10.5%,52.6%,68.0%,46.7%
1.02,0.0%,8.9%,54.5%,63.9%,39.2%
1.25,5.7%,7.1%,51.4%,66.7%,52.9%
1.05,2.6%,1.3%,66.7%,73.1%,50.0%
1.15,3.4%,3.4%,68.4%,60.0%,45.9%
0.84,4.3%,7.1%,50.0%,60.0%,48.6%
1.30,5.1%,1.3%,61.5%,79.2%,60.0%
1.43,10.5%,5.3%,50.9%,79.3%,53.6%
1.05,5.6%,6.7%,61.1%,76.4%,40.0%
0.83,5.9%,5.9%,60.8%,67.7%,35.0%
1.19,13.6%,6.1%,63.6%,83.3%,41.7%
