DR,A%,DF%,1stIn,1st%,2nd%
0.94,6.3%,2.1%,62.1%,69.5%,58.3%
0.39,6.5%,6.5%,66.1%,61.0%,38.1%
1.07,7.5%,5.4%,59.1%,70.9%,60.5%
0.72,0.0%,4.8%,56.0%,59.6%,54.1%
1.07,2.2%,3.3%,67.8%,57.4%,51.7%
0.90,0.0%,12.9%,40.9%,55.3%,36.4%
1.03,5.0%,2.5%,55.0%,72.7%,52.8%
0.89,4.5%,6.0%,49.3%,66.7%,47.1%
1.39,8.5%,0.0%,66.2%,78.7%,75.0%
1.70,4.4%,4.4%,44.4%,75.0%,64.0%
1.80,3.5%,1.8%,54.4%,87.1%,65.4%
1.35,1.8%,3.6%,54.5%,73.3%,60.0%
1.42,3.9%,7.8%,56.9%,72.4%,50.0%
0.88,5.6%,4.4%,54.4%,65.3%,48.8%
0.22,0.0%,18.2%,48.5%,50.0%,29.4%
0.42,0.0%,4.7%,58.1%,48.0%,33.3%
1.14,2.7%,5.5%,55.5%,67.2%,51.0%
1.05,0.0%,5.4%,66.9%,56.3%,39.5%
0.93,1.3%,6.3%,56.3%,57.8%,42.9%
1.08,8.9%,4.4%,52.2%,83.0%,58.1%
1.37,6.5%,1.6%,56.5%,74.3%,63.0%
1.47,8.6%,1.7%,41.4%,79.2%,67.6%
1.14,13.0%,5.4%,60.9%,76.8%,50.0%
1.58,9.8%,2.0%,54.9%,82.1%,39.1%
1.15,10.1%,4.3%,60.9%,71.4%,40.7%
0.59,4.3%,6.5%,52.2%,58.3%,22.7%
0.80,10.1%,7.2%,55.1%,68.4%,35.5%
0.77,2.8%,4.7%,57.5%,62.3%,46.7%
0.78,7.2%,6.0%,53.0%,75.0%,35.9%
0.70,3.3%,5.0%,60.0%,52.8%,50.0%
1.15,4.3%,7.1%,50.0%,71.4%,42.9%
1.16,3.5%,4.7%,61.6%,67.9%,48.5%
0.70,5.3%,5.3%,62.1%,69.5%,58.3%
0.79,6.8%,11.0%,50.7%,54.1%,41.7%
0.69,2.8%,2.8%,51.4%,67.6%,37.1%
0.65,0.0%,2.3%,54.0%,61.7%,65.0%
0.82,0.0%,3.9%,66.7%,58.8%,41.2%
0.63,1.9%,7.7%,46.2%,50.0%,39.3%
0.68,2.5%,8.9%,57.0%,68.9%,26.5%
0.70,4.9%,2.4%,57.3%,63.8%,51.4%
0.65,3.7%,14.8%,57.4%,58.1%,30.4%
0.28,2.6%,10.3%,56.4%,45.5%,23.5%
1.09,11.9%,8.5%,53.4%,76.2%,43.6%
0.37,5.7%,15.1%,41.5%,77.3%,32.3%
0.83,2.9%,5.8%,61.9%,74.4%,47.2%
1.03,11.4%,2.1%,56.5%,73.4%,44.0%
0.65,5.2%,6.5%,48.1%,62.2%,40.0%
0.71,3.6%,7.1%,62.5%,48.6%,47.6%
1.10,4.5%,5.7%,60.2%,73.6%,48.6%
0.71,5.5%,5.5%,61.8%,52.9%,42.9%
0.69,6.5%,6.5%,53.2%,72.7%,44.8%
0.78,1.8%,3.6%,61.8%,58.8%,47.6%
1.20,2.8%,7.0%,67.6%,66.7%,60.9%
