DR,A%,DF%,1stIn,1st%,2nd%
1.47,2.0%,0.0%,66.7%,61.8%,70.6%
1.57,8.3%,1.7%,61.7%,86.5%,52.2%
1.14,1.2%,2.5%,58.0%,66.0%,41.2%
1.01,6.5%,1.1%,63.4%,62.7%,61.8%
1.12,11.3%,3.8%,63.7%,68.6%,62.1%
1.92,14.6%,4.2%,58.3%,85.7%,70.0%
0.80,9.1%,3.0%,68.2%,71.1%,47.6%
1.38,6.3%,5.3%,58.9%,64.3%,64.1%
1.38,8.7%,4.3%,63.8%,77.3%,52.0%
1.06,4.5%,1.5%,57.6%,65.8%,57.1%
0.71,10.6%,2.1%,51.1%,62.5%,30.4%
1.26,1.5%,4.5%,64.2%,83.7%,37.5%
0.89,6.1%,6.1%,56.1%,78.3%,38.9%
1.02,3.7%,2.8%,60.6%,63.6%,41.9%
1.27,1.8%,5.3%,59.6%,76.5%,56.5%
0.43,20.0%,9.2%,58.5%,68.4%,44.4%
1.47,11.8%,5.9%,57.4%,89.7%,62.1%
0.63,8.1%,9.5%,48.6%,72.2%,44.7%
1.35,11.8%,3.9%,66.7%,76.5%,47.1%
0.47,0.0%,3.4%,45.8%,70.4%,34.4%
1.27,13.0%,7.2%,63.8%,79.5%,48.0%
1.77,21.7%,2.2%,73.9%,85.3%,58.3%
0.64,4.0%,4.0%,64.0%,52.1%,63.0%
1.64,2.1%,2.1%,61.7%,82.8%,55.6%
1.12,10.2%,2.5%,55.1%,73.8%,50.9%
1.26,3.9%,1.3%,56.6%,72.1%,54.5%
1.02,11.3%,3.8%,66.0%,68.6%,47.2%
1.96,2.6%,5.1%,66.7%,69.2%,69.2%
0.57,4.2%,2.8%,62.5%,64.4%,51.9%
1.45,5.5%,5.5%,69.1%,78.9%,47.1%
1.17,5.1%,3.8%,50.6%,77.5%,53.8%
1.10,5.6%,5.6%,61.1%,72.7%,51.4%
0.93,5.2%,5.2%,67.5%,53.8%,48.0%
1.02,8.6%,3.7%,64.2%,75.0%,55.2%
1.00,7.6%,6.5%,58.7%,70.4%,50.0%
2.28,12.2%,2.4%,68.3%,78.6%,76.9%
0.74,5.0%,6.7%,60.0%,55.6%,37.5%
0.62,3.9%,5.9%,56.9%,55.2%,40.9%
0.93,11.8%,6.5%,46.2%,74.4%,34.0%
1.40,14.3%,6.0%,61.9%,84.6%,62.5%
0.72,14.9%,6.4%,61.7%,69.0%,44.4%
1.14,7.2%,5.8%,63.8%,68.2%,60.0%
1.51,3.3%,3.3%,65.0%,87.2%,61.9%
0.83,3.4%,5.7%,66.7%,69.0%,37.9%
1.28,2.4%,3.7%,51.2%,83.3%,37.5%
0.71,7.1%,1.4%,62.9%,68.2%,50.0%
1.10,2.4%,2.4%,52.9%,66.7%,60.0%
1.09,13.6%,3.0%,63.6%,73.8%,58.3%
0.84,3.8%,6.9%,46.9%,67.2%,52.2%
1.06,6.0%,7.2%,57.8%,62.5%,45.7%
0.96,11.1%,0.0%,61.1%,58.2%,57.1%
0.73,5.9%,4.0%,66.3%,58.2%,41.2%
0.82,4.8%,4.8%,62.7%,63.5%,58.1%
1.58,6.3%,2.5%,55.7%,84.1%,60.0%
1.23,5.4%,1.1%,71.7%,75.8%,50.0%
1.47,9.1%,1.8%,54.5%,70.0%,72.0%
0.82,6.1%,7.3%,54.9%,55.6%,40.5%
0.93,1.6%,4.0%,63.2%,64.6%,52.2%
1.22,8.5%,1.4%,57.7%,61.0%,56.7%
1.08,7.9%,1.1%,68.5%,72.1%,53.6%
0.60,3.5%,3.5%,54.4%,67.7%,38.5%
0.82,2.2%,2.2%,54.8%,62.7%,45.2%
0.74,6.0%,6.0%,58.2%,71.8%,50.0%
1.13,4.4%,2.9%,58.8%,72.5%,60.7%
0.49,0.0%,5.0%,55.0%,40.9%,50.0%
0.84,2.4%,6.0%,50.0%,66.7%,40.5%
1.19,13.4%,3.0%,65.7%,81.8%,52.2%
0.61,1.4%,4.2%,47.2%,61.8%,47.4%
0.52,2.7%,9.5%,47.3%,77.1%,53.8%
