DR,A%,DF%,1stIn,1st%,2nd%
0.90,4.5%,2.3%,65.9%,69.0%,73.3%
1.09,2.6%,6.6%,60.5%,67.4%,46.7%
1.35,1.9%,7.5%,73.6%,71.8%,21.4%
0.46,3.4%,6.8%,59.3%,68.6%,41.7%
1.29,6.9%,6.9%,67.6%,75.4%,60.6%
0.54,5.1%,12.8%,61.5%,50.0%,33.3%
0.96,0.0%,10.1%,59.5%,57.4%,43.8%
0.75,1.7%,3.3%,61.7%,70.3%,30.4%
0.98,4.2%,13.3%,57.5%,78.3%,37.3%
0.76,5.7%,7.5%,67.9%,66.7%,47.1%
1.76,4.7%,2.3%,74.4%,75.0%,45.5%
1.52,3.3%,3.3%,72.1%,77.3%,52.9%
0.69,6.6%,3.9%,63.2%,64.6%,42.9%
1.45,3.3%,3.3%,70.0%,69.0%,61.1%
1.15,7.8%,9.1%,71.4%,65.5%,40.9%
1.65,9.4%,4.7%,60.9%,89.7%,60.0%
1.22,11.0%,5.5%,68.1%,77.4%,37.9%
0.85,0.0%,4.1%,78.1%,59.6%,43.8%
1.23,3.3%,7.6%,69.6%,59.4%,39.3%
0.57,3.7%,16.7%,50.0%,74.1%,37.0%
0.70,1.6%,14.5%,54.8%,58.8%,46.4%
0.69,0.0%,9.1%,52.7%,58.6%,50.0%
2.43,2.6%,5.3%,63.2%,83.3%,64.3%
0.70,3.0%,9.1%,62.1%,56.1%,36.0%
2.31,10.4%,4.2%,70.8%,88.2%,57.1%
1.55,3.0%,4.5%,71.2%,83.0%,52.6%
1.51,8.2%,10.2%,61.2%,83.3%,52.6%
1.37,4.1%,2.0%,69.4%,79.4%,66.7%
0.75,11.8%,7.4%,47.1%,87.5%,41.7%
1.67,10.0%,3.3%,63.3%,71.1%,59.1%
0.86,9.3%,7.2%,63.9%,67.7%,45.7%
2.17,2.0%,0.0%,72.0%,88.9%,64.3%
1.01,5.8%,8.1%,61.6%,67.9%,51.5%
1.35,8.7%,5.8%,59.4%,87.8%,53.6%
1.32,3.0%,7.6%,59.1%,66.7%,44.4%
0.64,2.1%,6.4%,59.6%,60.7%,21.1%
0.88,0.0%,10.8%,66.7%,58.8%,26.5%
0.98,4.0%,4.0%,64.6%,64.1%,57.1%
1.02,6.9%,15.3%,59.7%,76.7%,34.5%
1.68,3.8%,15.1%,62.3%,84.8%,45.0%
0.68,1.1%,3.2%,58.1%,57.4%,43.6%
